2022-05-04 05:14:44,720 YoloV3 INFO: -----------------------------
2022-05-04 05:14:44,720 YoloV3 INFO: ----      Preparing      ----
2022-05-04 05:14:44,720 YoloV3 INFO: -----------------------------
2022-05-04 05:14:44,778 YoloV3 INFO: [1] Dataset successfully loaded!
2022-05-04 05:14:49,509 YoloV3.model INFO: Load darknet weights : ./pretrained/darknet53_448.weights
2022-05-04 05:14:49,723 YoloV3.model INFO: Loading weight ... Done!
2022-05-04 05:14:49,735 YoloV3 INFO: [2] Model successfully initialized!
2022-05-04 05:14:49,736 YoloV3 INFO: [3] Optimizer successfully assigned!
2022-05-04 05:14:49,736 YoloV3 INFO: [4] Scheduler successfully assigned!
2022-05-04 05:14:49,736 YoloV3 INFO: [5] Crtterion successfully built!
2022-05-04 05:14:49,737 YoloV3 INFO: -----------------------------
2022-05-04 05:14:49,737 YoloV3 INFO: ---- Now start training! ----
2022-05-04 05:14:49,737 YoloV3 INFO: -----------------------------
2022-05-04 05:14:49,737 YoloV3 INFO: Train datasets number is : 16551
2022-05-04 05:18:16,098 YoloV3 INFO: Epoch:  1/50, Batch: 191/1035, Image Size: 448, Loss_GIoU: 7.632(5.66), Loss_Conf: 13.544(24.02), Loss_Cls : 29.181(33.22), Total Loss: 50.357(62.90), LR: 5.91787e-05 .
2022-05-04 05:18:28,973 YoloV3 INFO: Epoch:  1/50, Batch: 201/1035, Image Size: 576, Loss_GIoU: 5.111(5.66), Loss_Conf: 8.773(23.32), Loss_Cls : 18.189(32.61), Total Loss: 32.073(61.58), LR: 5.96618e-05 .
2022-05-04 05:18:37,958 YoloV3 INFO: Epoch:  1/50, Batch: 211/1035, Image Size: 608, Loss_GIoU: 3.833(5.63), Loss_Conf: 8.838(22.64), Loss_Cls : 18.674(31.98), Total Loss: 31.346(60.25), LR: 6.01449e-05 .
2022-05-04 05:18:41,997 YoloV3 INFO: Epoch:  1/50, Batch: 221/1035, Image Size: 384, Loss_GIoU: 4.047(5.58), Loss_Conf: 7.067(21.96), Loss_Cls : 18.168(31.33), Total Loss: 29.281(58.87), LR: 6.0628e-05 .
2022-05-04 05:18:45,993 YoloV3 INFO: Epoch:  1/50, Batch: 231/1035, Image Size: 448, Loss_GIoU: 5.969(5.59), Loss_Conf: 10.666(21.43), Loss_Cls : 19.173(30.91), Total Loss: 35.809(57.94), LR: 6.11111e-05 .
2022-05-04 05:18:50,001 YoloV3 INFO: Epoch:  1/50, Batch: 241/1035, Image Size: 352, Loss_GIoU: 4.842(5.57), Loss_Conf: 8.289(20.88), Loss_Cls : 19.056(30.38), Total Loss: 32.188(56.83), LR: 6.15942e-05 .
2022-05-04 05:18:54,034 YoloV3 INFO: Epoch:  1/50, Batch: 251/1035, Image Size: 352, Loss_GIoU: 5.057(5.55), Loss_Conf: 8.209(20.40), Loss_Cls : 17.446(29.93), Total Loss: 30.713(55.88), LR: 6.20773e-05 .
2022-05-04 05:18:58,093 YoloV3 INFO: Epoch:  1/50, Batch: 261/1035, Image Size: 480, Loss_GIoU: 5.697(5.53), Loss_Conf: 8.709(19.92), Loss_Cls : 20.833(29.47), Total Loss: 35.239(54.93), LR: 6.25604e-05 .
2022-05-04 05:19:02,134 YoloV3 INFO: Epoch:  1/50, Batch: 271/1035, Image Size: 544, Loss_GIoU: 4.123(5.54), Loss_Conf: 7.281(19.51), Loss_Cls : 14.209(29.10), Total Loss: 25.614(54.15), LR: 6.30435e-05 .
2022-05-04 05:19:06,192 YoloV3 INFO: Epoch:  1/50, Batch: 281/1035, Image Size: 576, Loss_GIoU: 5.213(5.52), Loss_Conf: 8.790(19.12), Loss_Cls : 17.093(28.73), Total Loss: 31.096(53.37), LR: 6.35266e-05 .
2022-05-04 05:19:10,223 YoloV3 INFO: Epoch:  1/50, Batch: 291/1035, Image Size: 352, Loss_GIoU: 5.059(5.51), Loss_Conf: 8.938(18.75), Loss_Cls : 20.614(28.37), Total Loss: 34.611(52.62), LR: 6.40097e-05 .
2022-05-04 05:19:14,260 YoloV3 INFO: Epoch:  1/50, Batch: 301/1035, Image Size: 480, Loss_GIoU: 4.252(5.50), Loss_Conf: 8.198(18.42), Loss_Cls : 18.138(28.06), Total Loss: 30.588(51.98), LR: 6.44928e-05 .
2022-05-04 05:19:18,288 YoloV3 INFO: Epoch:  1/50, Batch: 311/1035, Image Size: 512, Loss_GIoU: 5.868(5.50), Loss_Conf: 8.006(18.10), Loss_Cls : 15.779(27.74), Total Loss: 29.653(51.34), LR: 6.49758e-05 .
2022-05-04 05:19:22,332 YoloV3 INFO: Epoch:  1/50, Batch: 321/1035, Image Size: 480, Loss_GIoU: 3.893(5.48), Loss_Conf: 5.883(17.77), Loss_Cls : 15.386(27.40), Total Loss: 25.162(50.65), LR: 6.54589e-05 .
2022-05-04 05:19:26,368 YoloV3 INFO: Epoch:  1/50, Batch: 331/1035, Image Size: 608, Loss_GIoU: 5.326(5.45), Loss_Conf: 7.865(17.47), Loss_Cls : 16.005(27.04), Total Loss: 29.196(49.96), LR: 6.5942e-05 .
2022-05-04 05:19:30,394 YoloV3 INFO: Epoch:  1/50, Batch: 341/1035, Image Size: 416, Loss_GIoU: 5.937(5.43), Loss_Conf: 8.007(17.19), Loss_Cls : 14.573(26.71), Total Loss: 28.517(49.33), LR: 6.64251e-05 .
2022-05-04 05:19:34,431 YoloV3 INFO: Epoch:  1/50, Batch: 351/1035, Image Size: 576, Loss_GIoU: 4.035(5.40), Loss_Conf: 5.413(16.90), Loss_Cls : 10.424(26.39), Total Loss: 19.873(48.69), LR: 6.69082e-05 .
2022-05-04 05:19:38,447 YoloV3 INFO: Epoch:  1/50, Batch: 361/1035, Image Size: 544, Loss_GIoU: 4.099(5.37), Loss_Conf: 7.732(16.64), Loss_Cls : 13.066(26.07), Total Loss: 24.897(48.07), LR: 6.73913e-05 .
2022-05-04 05:19:42,472 YoloV3 INFO: Epoch:  1/50, Batch: 371/1035, Image Size: 544, Loss_GIoU: 5.377(5.33), Loss_Conf: 8.610(16.36), Loss_Cls : 14.316(25.74), Total Loss: 28.303(47.44), LR: 6.78744e-05 .
2022-05-04 05:19:46,482 YoloV3 INFO: Epoch:  1/50, Batch: 381/1035, Image Size: 576, Loss_GIoU: 3.132(5.29), Loss_Conf: 5.715(16.10), Loss_Cls : 12.425(25.41), Total Loss: 21.272(46.80), LR: 6.83575e-05 .
